nprocs, p, data_volume, runtime
320, 0.80, 0.001000, 0.0008032084
320, 0.90, 0.001000, 0.0007984161
640, 0.10, 0.001000, 0.0027467012
640, 0.20, 0.001000, 0.0018212080
640, 0.30, 0.001000, 0.0018317938
640, 0.40, 0.001000, 0.0015397787
640, 0.50, 0.001000, 0.0016365051
640, 0.60, 0.001000, 0.0018346071
640, 0.70, 0.001000, 0.0016711950
640, 0.80, 0.001000, 0.0015716076
640, 0.90, 0.001000, 0.0015583038
1280, 0.10, 0.001000, 0.0081917048
1280, 0.20, 0.001000, 0.0075278044
1280, 0.30, 0.001000, 0.0063964844
1280, 0.40, 0.001000, 0.0068068981
1280, 0.50, 0.001000, 0.0090861082
1280, 0.60, 0.001000, 0.0069076061
1280, 0.70, 0.001000, 0.0076968908
1280, 0.80, 0.001000, 0.0075317860
1280, 0.90, 0.001000, 0.0081454039
1920, 0.10, 0.001000, 0.0065269947
1920, 0.20, 0.001000, 0.0042927980
1920, 0.30, 0.001000, 0.0040287971
1920, 0.40, 0.001000, 0.0036056995
1920, 0.50, 0.001000, 0.0036497831
1920, 0.60, 0.001000, 0.0042106867
1920, 0.70, 0.001000, 0.0038328171
1920, 0.80, 0.001000, 0.0043285847
1920, 0.90, 0.001000, 0.0058330059
3840, 0.10, 0.001000, 0.0258493900
3840, 0.20, 0.001000, 0.0200243950
3840, 0.30, 0.001000, 0.0171472073
3840, 0.40, 0.001000, 0.0212460041
3840, 0.50, 0.001000, 0.0178716898
3840, 0.60, 0.001000, 0.0153341055
3840, 0.70, 0.001000, 0.0182023048
3840, 0.80, 0.001000, 0.0164663076
3840, 0.90, 0.001000, 0.0154400826
7680, 0.10, 0.001000, 0.0352432966
7680, 0.20, 0.001000, 0.0329169989
7680, 0.30, 0.001000, 0.0280195951
7680, 0.40, 0.001000, 0.0278107166
7680, 0.50, 0.001000, 0.0303969145
7680, 0.60, 0.001000, 0.0288357019
7680, 0.70, 0.001000, 0.0278241873
7680, 0.80, 0.001000, 0.0318722963
7680, 0.90, 0.001000, 0.0355834007
16000, 0.10, 0.001000, 0.0723989010
16000, 0.20, 0.001000, 0.0665218830
16000, 0.30, 0.001000, 0.0588742971
16000, 0.40, 0.001000, 0.0605578899
16000, 0.50, 0.001000, 0.0616033077
16000, 0.60, 0.001000, 0.0720139980
16000, 0.70, 0.001000, 0.0735376120
16000, 0.80, 0.001000, 0.0788200855
16000, 0.90, 0.001000, 0.0788897038
32000, 0.10, 0.001000, 0.0770199060
32000, 0.20, 0.001000, 0.0708110809
32000, 0.30, 0.001000, 0.0774919987
32000, 0.40, 0.001000, 0.0701939106
32000, 0.50, 0.001000, 0.0627213955
32000, 0.60, 0.001000, 0.0600587130
32000, 0.70, 0.001000, 0.0612551928
32000, 0.80, 0.001000, 0.0643630028
32000, 0.90, 0.001000, 0.0619709969
